practice_id,accepting_adults,accepting_children,last_reported
V001573,yes,yes,2026-02-11
V025395,no,no,2026-02-11
V001350,yes,yes,2026-02-11
V004291,yes,yes,2026-02-11
V004138,no,no,2026-02-11
V042095,yes,yes,2026-02-11
V045300,no,no,2026-02-11
V000169,yes,yes,2026-02-11
V002338,no,yes,2026-02-11
V054573,no,no,2026-02-11
V004799,unknown,unknown,2026-02-11
V025474,no,yes,2026-02-11
V005760,no,no,2026-02-11
V008789,yes,yes,2026-02-11
V262679,yes,yes,2026-02-11
V021129,yes,yes,2026-02-11
V041091,no,yes,2026-02-11
V002473,no,yes,2026-02-11
V272256,yes,yes,2026-02-11
V008381,no,yes,2026-02-11
V002897,no,no,2026-02-11
V004496,yes,yes,2026-02-11
V003914,no,no,2026-02-11
V132495,no,no,2026-02-11
V000740,no,yes,2026-02-11
V010438,yes,yes,2026-02-11
V004683,no,no,2026-02-11
V004051,yes,yes,2026-02-11
V008636,no,yes,2026-02-11
V000940,no,no,2026-02-11
NHS-02bae4e87cef,unknown,unknown,2026-02-11
V003807,no,yes,2026-02-11
V003858,no,yes,2026-02-11
V008637,no,yes,2026-02-11
V038505,yes,yes,2026-02-11
V007531,no,yes,2026-02-11
V002419,yes,yes,2026-02-11
V002230,no,no,2026-02-11
V001377,no,no,2026-02-11
V066288,yes,yes,2026-02-11
V098153,no,no,2026-02-11
V005924,no,no,2026-02-11
V004231,no,no,2026-02-11
V000502,yes,yes,2026-02-11
V001201,no,no,2026-02-11
V003840,yes,yes,2026-02-11
V010996,yes,yes,2026-02-11
V002992,yes,yes,2026-02-11
V005348,yes,yes,2026-02-11
V007337,no,yes,2026-02-11
V000878,no,no,2026-02-11
V000285,no,no,2026-02-11
V012462,no,yes,2026-02-11
V010679_1,yes,yes,2026-02-11
V003571,no,no,2026-02-11
V006547,no,no,2026-02-11
V006260,no,no,2026-02-11
V014946,yes,yes,2026-02-11
V009013,no,no,2026-02-11
V006243,yes,yes,2026-02-11
V013768,yes,yes,2026-02-11
V006546,unknown,unknown,2026-02-11
V005470,no,yes,2026-02-11
V012692,yes,yes,2026-02-11
V001349,no,no,2026-02-11
V028893,no,no,2026-02-11
V002668,yes,yes,2026-02-11
V006371,no,yes,2026-02-11
V003186,yes,yes,2026-02-11
V000895,no,no,2026-02-11
V012356,no,no,2026-02-11
V004187,no,no,2026-02-11
V001584,yes,yes,2026-02-11
V014879,unknown,unknown,2026-02-11
V001021,no,no,2026-02-11
V005723,no,no,2026-02-11
V000488,no,yes,2026-02-11
V003833,no,yes,2026-02-11
V001563,no,no,2026-02-11
V003303,no,yes,2026-02-11
V009568,no,no,2026-02-11
V000461,yes,yes,2026-02-11
V001797,no,yes,2026-02-11
V005398,no,no,2026-02-11
V002389,no,no,2026-02-11
V008842,no,no,2026-02-11
V000636,yes,yes,2026-02-11
V006822,yes,yes,2026-02-11
V005106,yes,yes,2026-02-11
V000748,no,no,2026-02-11
V012073,yes,yes,2026-02-11
V003312,no,no,2026-02-11
V008522,no,no,2026-02-11
V001173,no,no,2026-02-11
V001637,no,no,2026-02-11
V000225,yes,yes,2026-02-11
V007737,no,yes,2026-02-11
V007304,no,no,2026-02-11
V013792,yes,yes,2026-02-11
NHS-63bc2df9b062,unknown,unknown,2026-02-11
V005457,yes,yes,2026-02-11
V002057,no,no,2026-02-11
V000422,yes,yes,2026-02-11
V043592,no,no,2026-02-11
V002186,no,no,2026-02-11
V013390,yes,yes,2026-02-11
V012835,no,no,2026-02-11
V005794,no,yes,2026-02-11
V008802,no,yes,2026-02-11
V008158,no,no,2026-02-11
V000358,no,no,2026-02-11
V006790,no,no,2026-02-11
V006127,yes,yes,2026-02-11
V008490,no,no,2026-02-11
V002532,yes,yes,2026-02-11
NHS-42162c52ac8b,unknown,unknown,2026-02-11
NHS-e58d8b5fab18,unknown,unknown,2026-02-11
NHS-c8f040576cb1,unknown,unknown,2026-02-11
NHS-035f74481f90,unknown,unknown,2026-02-11
V021953,no,yes,2026-02-11
V022397,no,yes,2026-02-11
V004324,unknown,unknown,2026-02-11
V004604,no,no,2026-02-11
V007129,no,no,2026-02-11
V007038,no,no,2026-02-11
V028051,yes,yes,2026-02-11
V009545,unknown,unknown,2026-02-11
V025079,yes,yes,2026-02-11
V026831,unknown,unknown,2026-02-11
V009258,unknown,unknown,2026-02-11
V010114,unknown,unknown,2026-02-11
V009926,no,no,2026-02-11
V029805,no,no,2026-02-11
V042763,no,no,2026-02-11
V004931,unknown,unknown,2026-02-11
V009219,unknown,unknown,2026-02-11
V043418,no,no,2026-02-11
V029441,yes,yes,2026-02-11
V017432,no,no,2026-02-11
V013274,no,no,2026-02-11
V049779,no,yes,2026-02-11
V017136,yes,yes,2026-02-11
V180304,no,no,2026-02-11
V044723,no,no,2026-02-11
V054047,no,no,2026-02-11
V038719,no,no,2026-02-11
V014461,no,no,2026-02-11
V045590,unknown,unknown,2026-02-11
V001119,unknown,unknown,2026-02-11
V179483,unknown,unknown,2026-02-11
V134976,no,no,2026-02-11
V030337,unknown,unknown,2026-02-11
V029341,no,no,2026-02-11
V044974,unknown,unknown,2026-02-11
V196059,unknown,unknown,2026-02-11
V022235,no,no,2026-02-11
V061688,no,no,2026-02-11
V064908,no,no,2026-02-11
V226026,no,no,2026-02-11
V050573,no,no,2026-02-11
V119079,no,yes,2026-02-11
V207221,yes,yes,2026-02-11
