area_code,imd_decile
LSOA::E01000001,8
LSOA::E01000002,10
LSOA::E01000003,8
LSOA::E01000005,5
LSOA::E01000006,4
LSOA::E01000007,2
LSOA::E01000008,2
LSOA::E01000009,2
LSOA::E01000011,2
LSOA::E01000012,2
LSOA::E01000013,3
LSOA::E01000014,3
LSOA::E01000015,3
LSOA::E01000016,4
LSOA::E01000017,3
LSOA::E01000018,3
LSOA::E01000019,3
LSOA::E01000020,3
LSOA::E01000021,2
LSOA::E01000022,3
LSOA::E01000024,3
LSOA::E01000025,3
LSOA::E01000027,3
LSOA::E01000028,2
LSOA::E01000029,5
LSOA::E01000030,2
LSOA::E01000031,5
LSOA::E01000032,3
LSOA::E01000033,2
LSOA::E01000034,3
LSOA::E01000035,3
LSOA::E01000036,4
LSOA::E01000037,5
LSOA::E01000038,5
LSOA::E01000039,6
LSOA::E01000040,2
LSOA::E01000041,4
LSOA::E01000042,2
LSOA::E01000043,3
LSOA::E01000044,3
LSOA::E01000045,2
LSOA::E01000046,3
LSOA::E01000049,2
LSOA::E01000050,3
LSOA::E01000051,3
LSOA::E01000052,2
LSOA::E01000053,3
LSOA::E01000054,3
LSOA::E01000055,3
LSOA::E01000056,2
LSOA::E01000057,3
LSOA::E01000058,3
LSOA::E01000059,3
LSOA::E01000060,3
LSOA::E01000061,1
LSOA::E01000062,4
LSOA::E01000063,4
LSOA::E01000064,3
LSOA::E01000065,2
LSOA::E01000066,5
LSOA::E01000067,4
LSOA::E01000068,4
LSOA::E01000069,6
LSOA::E01000070,4
LSOA::E01000071,4
LSOA::E01000072,2
LSOA::E01000073,3
LSOA::E01000074,3
LSOA::E01000075,4
LSOA::E01000076,3
LSOA::E01000077,2
LSOA::E01000078,3
LSOA::E01000079,3
LSOA::E01000080,3
LSOA::E01000081,4
LSOA::E01000082,3
LSOA::E01000083,3
LSOA::E01000084,2
LSOA::E01000085,2
LSOA::E01000086,3
LSOA::E01000087,3
LSOA::E01000088,3
LSOA::E01000089,3
LSOA::E01000090,3
LSOA::E01000091,2
LSOA::E01000093,2
LSOA::E01000094,4
LSOA::E01000095,3
LSOA::E01000096,2
LSOA::E01000097,3
LSOA::E01000098,2
LSOA::E01000099,4
LSOA::E01000100,3
LSOA::E01000101,2
LSOA::E01000102,3
LSOA::E01000103,4
LSOA::E01000104,2
LSOA::E01000105,2
LSOA::E01000106,2
LSOA::E01000107,4
LSOA::E01000108,3
LSOA::E01000110,5
LSOA::E01000111,3
LSOA::E01000112,4
LSOA::E01000113,3
LSOA::E01000114,3
LSOA::E01000115,10
LSOA::E01000116,8
LSOA::E01000117,8
LSOA::E01000118,7
LSOA::E01000119,9
LSOA::E01000120,9
LSOA::E01000121,3
LSOA::E01000122,8
LSOA::E01000123,6
LSOA::E01000124,4
LSOA::E01000126,2
LSOA::E01000127,3
LSOA::E01000128,3
LSOA::E01000129,2
LSOA::E01000130,3
LSOA::E01000131,4
LSOA::E01000132,3
LSOA::E01000133,3
LSOA::E01000134,3
LSOA::E01000135,7
LSOA::E01000136,8
LSOA::E01000137,3
LSOA::E01000138,3
LSOA::E01000139,6
LSOA::E01000140,6
LSOA::E01000141,2
LSOA::E01000142,3
LSOA::E01000143,3
LSOA::E01000144,4
LSOA::E01000145,4
LSOA::E01000146,4
LSOA::E01000147,5
LSOA::E01000150,4
LSOA::E01000151,1
LSOA::E01000152,5
LSOA::E01000153,2
LSOA::E01000154,3
LSOA::E01000156,7
LSOA::E01000157,5
LSOA::E01000158,5
LSOA::E01000159,6
LSOA::E01000160,6
LSOA::E01000161,4
LSOA::E01000162,5
LSOA::E01000163,3
LSOA::E01000164,2
LSOA::E01000165,6
LSOA::E01000166,5
LSOA::E01000167,3
LSOA::E01000168,9
LSOA::E01000169,7
LSOA::E01000170,5
LSOA::E01000171,2
LSOA::E01000172,8
LSOA::E01000173,7
LSOA::E01000174,4
LSOA::E01000175,9
LSOA::E01000176,3
LSOA::E01000177,7
LSOA::E01000178,7
LSOA::E01000179,7
LSOA::E01000180,5
LSOA::E01000181,8
LSOA::E01000182,8
LSOA::E01000183,8
LSOA::E01000184,3
LSOA::E01000185,3
LSOA::E01000186,9
LSOA::E01000187,5
LSOA::E01000188,6
LSOA::E01000189,4
LSOA::E01000190,7
LSOA::E01000191,6
LSOA::E01000192,4
LSOA::E01000193,3
LSOA::E01000194,2
LSOA::E01000195,2
LSOA::E01000196,4
LSOA::E01000197,5
LSOA::E01000198,6
LSOA::E01000199,8
LSOA::E01000200,7
LSOA::E01000201,10
LSOA::E01000202,7
LSOA::E01000203,4
LSOA::E01000204,7
LSOA::E01000205,8
LSOA::E01000206,9
LSOA::E01000207,7
LSOA::E01000208,8
LSOA::E01000209,8
LSOA::E01000210,7
LSOA::E01000211,4
LSOA::E01000212,6
LSOA::E01000213,8
LSOA::E01000214,8
LSOA::E01000215,3
LSOA::E01000216,5
LSOA::E01000217,5
LSOA::E01000218,3
LSOA::E01000219,3
LSOA::E01000220,3
LSOA::E01000221,2
LSOA::E01000222,3
LSOA::E01000223,2
LSOA::E01000224,3
LSOA::E01000225,5
LSOA::E01000226,2
LSOA::E01000227,7
LSOA::E01000228,6
LSOA::E01000229,3
LSOA::E01000230,5
LSOA::E01000231,4
LSOA::E01000232,5
LSOA::E01000233,7
LSOA::E01000234,6
LSOA::E01000235,4
LSOA::E01000236,4
LSOA::E01000237,4
LSOA::E01000238,5
LSOA::E01000239,4
LSOA::E01000240,4
LSOA::E01000241,6
LSOA::E01000242,6
LSOA::E01000243,4
LSOA::E01000244,4
LSOA::E01000245,3
LSOA::E01000246,8
LSOA::E01000247,7
LSOA::E01000248,7
LSOA::E01000249,10
LSOA::E01000250,6
LSOA::E01000251,4
LSOA::E01000252,6
LSOA::E01000253,9
LSOA::E01000254,9
LSOA::E01000255,4
LSOA::E01000256,6
LSOA::E01000257,4
LSOA::E01000258,7
LSOA::E01000259,6
LSOA::E01000260,4
LSOA::E01000261,9
LSOA::E01000263,10
LSOA::E01000264,4
LSOA::E01000265,5
LSOA::E01000266,10
LSOA::E01000267,7
LSOA::E01000268,3
LSOA::E01000269,7
LSOA::E01000270,7
LSOA::E01000271,9
LSOA::E01000272,10
LSOA::E01000273,5
LSOA::E01000274,5
LSOA::E01000275,9
LSOA::E01000276,10
LSOA::E01000277,5
LSOA::E01000278,10
LSOA::E01000279,10
LSOA::E01000280,10
LSOA::E01000281,7
LSOA::E01000282,8
LSOA::E01000283,10
LSOA::E01000284,5
LSOA::E01000285,6
LSOA::E01000286,4
LSOA::E01000287,4
LSOA::E01000288,7
LSOA::E01000289,2
LSOA::E01000290,5
LSOA::E01000291,5
LSOA::E01000292,8
LSOA::E01000293,8
LSOA::E01000294,6
LSOA::E01000295,7
LSOA::E01000296,5
LSOA::E01000297,6
LSOA::E01000298,5
LSOA::E01000299,4
LSOA::E01000300,7
LSOA::E01000301,9
LSOA::E01000302,4
LSOA::E01000303,10
LSOA::E01000304,7
LSOA::E01000305,3
LSOA::E01000306,4
LSOA::E01000307,3
LSOA::E01000308,4
LSOA::E01000309,5
LSOA::E01000310,3
LSOA::E01000311,5
LSOA::E01000312,3
LSOA::E01000313,3
LSOA::E01000314,5
LSOA::E01000315,3
LSOA::E01000316,4
LSOA::E01000317,7
LSOA::E01000318,7
LSOA::E01000319,9
LSOA::E01000320,7
LSOA::E01000321,6
LSOA::E01000322,5
LSOA::E01000323,4
LSOA::E01000324,7
LSOA::E01000325,10
LSOA::E01000326,7
LSOA::E01000327,9
LSOA::E01000328,8
LSOA::E01000329,6
LSOA::E01000330,6
LSOA::E01000331,4
LSOA::E01000332,7
LSOA::E01000333,3
LSOA::E01000334,7
LSOA::E01000335,4
LSOA::E01000336,3
LSOA::E01000337,4
LSOA::E01000338,5
LSOA::E01000339,7
LSOA::E01000340,9
LSOA::E01000341,9
LSOA::E01000342,9
LSOA::E01000343,8
LSOA::E01000344,9
LSOA::E01000345,10
LSOA::E01000346,9
LSOA::E01000347,8
LSOA::E01000348,10
LSOA::E01000349,10
LSOA::E01000350,10
LSOA::E01000351,9
LSOA::E01000352,6
LSOA::E01000353,10
LSOA::E01000354,6
LSOA::E01000355,10
LSOA::E01000356,9
LSOA::E01000357,10
LSOA::E01000358,9
LSOA::E01000359,10
LSOA::E01000360,5
LSOA::E01000361,9
LSOA::E01000362,6
LSOA::E01000363,9
LSOA::E01000364,9
LSOA::E01000365,7
LSOA::E01000366,8
LSOA::E01000367,3
LSOA::E01000368,3
LSOA::E01000369,8
LSOA::E01000370,8
LSOA::E01000371,8
LSOA::E01000372,3
LSOA::E01000373,4
LSOA::E01000374,2
